Sequence name	Nor.27_1X_PCV_1x_ProG_A	Nor.28_1X_PCV_1x_ProG_A	Nor.29_1X_PCV_1x_ProG_A	Nor.30_1X_PCV_1x_ProG_A	Nor.31_1X_PCV_1x_ProG_A	Nor.32_1X_PCV_1x_ProG_A	Nor.33_1X_PCV_1x_ProG_A	Nor.34_1X_PCV_1x_ProG_A	Nor.27_1X_PCV_1x_ProG_B	Nor.28_1X_PCV_1x_ProG_B	Nor.29_1X_PCV_1x_ProG_B	Nor.30_1X_PCV_1x_ProG_B	Nor.31_1X_PCV_1x_ProG_B	Nor.32_1X_PCV_1x_ProG_B	Nor.33_1X_PCV_1x_ProG_B	Nor.34_1X_PCV_1x_ProG_B	Nor.35_1X_PCV_1x_ProG_A	Nor.36_1X_PCV_1x_ProG_A	Nor.37_1X_PCV_1x_ProG_A	Nor.38_1X_PCV_1x_ProG_A	Nor.39_1X_PCV_1x_ProG_A	Nor.40_1X_PCV_1x_ProG_A	Nor.41_1X_PCV_1x_ProG_A	Nor.42_1X_PCV_1x_ProG_A	Nor.35_1X_PCV_1x_ProG_B	Nor.36_1X_PCV_1x_ProG_B	Nor.37_1X_PCV_1x_ProG_B	Nor.38_1X_PCV_1x_ProG_B	Nor.39_1X_PCV_1x_ProG_B	Nor.40_1X_PCV_1x_ProG_B	Nor.41_1X_PCV_1x_ProG_B	Nor.42_1X_PCV_1x_ProG_B	BB.8_1X_PCV_1x_ProG_A	BB.9_1X_PCV_1x_ProG_A	BB.10_1X_PCV_1x_ProG_A	BB.11_1X_PCV_1x_ProG_A	BB.12_1X_PCV_1x_ProG_A	BB.13_1X_PCV_1x_ProG_A	BB.14_1X_PCV_1x_ProG_A	Sblk_1X_PCV_1X_ProG_E	BB.8_1X_PCV_1x_ProG_B	BB.9_1X_PCV_1x_ProG_B	BB.10_1X_PCV_1x_ProG_B	BB.11_1X_PCV_1x_ProG_B	BB.12_1X_PCV_1x_ProG_B	BB.13_1X_PCV_1x_ProG_B	BB.14_1X_PCV_1x_ProG_B	JA.s_1X_PCV_1X_ProG_E	BB.15_1X_PCV_1x_ProG_A	BB.16_1X_PCV_1x_ProG_A	BB.17_1X_PCV_1x_ProG_A	BB.18_1X_PCV_1x_ProG_A	BB.19_1X_PCV_1x_ProG_A	BB.20_1X_PCV_1x_ProG_A	BB.1_1X_PCV_1x_ProG_A	BB.2_1X_PCV_1x_ProG_A	BB.15_1X_PCV_1x_ProG_B	BB.16_1X_PCV_1x_ProG_B	BB.17_1X_PCV_1x_ProG_B	BB.18_1X_PCV_1x_ProG_B	BB.19_1X_PCV_1x_ProG_B	BB.20_1X_PCV_1x_ProG_B	BB.1_1X_PCV_1x_ProG_B	BB.2_1X_PCV_1x_ProG_B	Nor.43_1X_PCV_1x_ProG_A	Nor.44_1X_PCV_1x_ProG_A	HCV.Q_1X_PCV_1x_ProG_A	V1_1X_PCV_1x_ProG_A	V2_1X_PCV_1x_ProG_A	V4_1X_PCV_1x_ProG_A	V7_1X_PCV_1x_ProG_A	V8_1X_PCV_1x_ProG_A	Nor.43_1X_PCV_1x_ProG_B	Nor.44_1X_PCV_1x_ProG_B	HCV.Q_1X_PCV_1x_ProG_B	V1_1X_PCV_1x_ProG_B	V2_1X_PCV_1x_ProG_B	V4_1X_PCV_1x_ProG_B	V7_1X_PCV_1x_ProG_B	V8_1X_PCV_1x_ProG_B	P1_1X_PCV_1x_ProG_A	P2_1X_PCV_1x_ProG_A	P3_1X_PCV_1x_ProG_A	P4_1X_PCV_1x_ProG_A	HD6_1X_PCV_1x_ProG_A	P1_1X_PCV_1x_ProG_B	P2_1X_PCV_1x_ProG_B	P3_1X_PCV_1x_ProG_B	P4_1X_PCV_1x_ProG_B	HD6_1X_PCV_1x_ProG_B	HD7_1X_PCV_1x_ProG_A	HD8_1X_PCV_1x_ProG_A	HD9_1X_PCV_1x_ProG_A	BB3_1X_PCV_1x_ProG_A	V3_1X_PCV_1x_ProG_A	V5_1X_PCV_1x_ProG_A	V6_1X_PCV_1x_ProG_A	P5_1X_PCV_1x_ProG_A	HD7_1X_PCV_1x_ProG_B	HD8_1X_PCV_1x_ProG_B	HD9_1X_PCV_1x_ProG_B	BB3_1X_PCV_1x_ProG_B	V3_1X_PCV_1x_ProG_B	V5_1X_PCV_1x_ProG_B	V6_1X_PCV_1x_ProG_B	P5_1X_PCV_1x_ProG_B	BB4_1X_PCV_1x_ProG_A	BB5_1X_PCV_1x_ProG_A	BB6_1X_PCV_1x_ProG_A	BB7_1X_PCV_1x_ProG_A	BB4_1X_PCV_1x_ProG_B	BB5_1X_PCV_1x_ProG_B	BB6_1X_PCV_1x_ProG_B	BB7_1X_PCV_1x_ProG_B	Sblk_1X_PCV_1X_ProG_F	JA.s_1X_PCV_1X_ProG_F	P60_5.1.20_CovA.1A	P62_5.1.20_CovA.1B	P62_5.5.20_CovA.1C	P58_5.1.20_CovA.1D	P58_5.8.20_CovA.1E	P92_5.1.20_CovA.1F	P92_5.8.20_CovA.1G	P78_5.1.20_CovA.1H	P78_5.9.20_CovA.2A	P43_5.1.20_CovA.2B	P43_5.7.20_CovA.2C	P52_4.30.20_CovA.2D	P52_5.7.20_CovA.2E	P56_5.1.20_CovA.2F	P56_5.8.20_CovA.2G	P69_5.2.20_CovA.2H	P69_5.9.20_CovA.3A	P81_5.2.20_CovA.3B	P81_5.9.20_CovA.3C	P51_5.3.20_CovA.3D	P51_5.10.20_CovA.3E	P77_5.4.20_CovA.3F	P77_5.11.20_CovA.3G	P88_5.5.20_CovA.3H	P88_5.12.20_CovA.4A	P90_5.6.20_CovA.4B	P90_5.13.20_CovA.4C	P48_5.3.20_CovA.4D	P48_5.10.20_CovA.4E	P87_5.6.20_CovA.4F	P87_5.13.20_CovA.4G	P73_5.4.20_CovA.4H	P73_5.11.20_CovA.5A	P82_5.13.20_CovA.5B	P47_5.8.20_CovA.5C	P47_5.15.20_CovA.5D	P61_5.7.20_CovA.5E	P61_5.14.20_CovA.5F	P44_5.9.20_CovA.5G	P44_Unk_CovA.5H	P57_5.13.20_CovA.6A	P46_5.9.20_CovA.6B	P46_5.17.20_CovA.6C	P64_5.8.20_CovA.6D	P64_5.15.20_CovA.6E	P83_5.9.20_CovA.6F	P83_5.16.20_CovA.6G	P55_5.9.20_CovA.6H	P55_5.16.20_CovA.7A	P65_5.11.20_CovA.7B	P65_5.18.20_CovA.7C	P59_Unk_CovA.7D	P53_5.9.20_CovA.7E	P53_5.16.20_CovA.7F	P86_5.14.20_CovA.7G	P86_5.20.20_CovA.7H	P63_5.16.20_CovA.8A	P63_5.23.20_CovA.8B	P84_5.15.20_CovA.8C	P84_5.22.20_CovA.8D	P93_5.19.20_CovA.8E	P93_5.29.20_CovA.8F	P91_5.21.20_CovA.8G	P91_5.28.20_CovA.8H	P74_5.11.20_CovA.9A	P74_5.18.20_CovA.9B	P45_5.16.20_CovA.9C	P45_5.25.20_CovA.9D	Superblock_PCV_A	Superblock_PCV_B	JA_Serum_PCV_A	JA_Serum_PCV_B	P03_2.25.20_8.2A	P10_2.21.20_8.2D	D09_3.8.20_8.5B	D08_3.18.20_8.5C	D06_3.19.20_8.5D	D10_4.2.20_8.8H	D06_5.1.20_8.9F	D08_5.1.2.20_8.9G	D11_4.28.20_8.10C	D10_5.6.20_8.10D	D13_5.1.20_8.10E	D12_5.1.20_8.10F	D14_5.1.20_8.10G	D15_5.1.20_8.10H	D16_5.1.20_8.11A	D09_5.11.20_8.11C	P10_5.19.20_8.11D	P03_5.18.20_8.11E	D17_5.24.20_8.12B	D17_5.31.20_8.12C	D18_5.25.20_8.12D	D18_5.31.20_8.12E	D19_5.24.20_8.12F	D19_5.31.20_8.12G	P40_11.2.2019_8.4A	P40_11.26.2019_8.4B	P40_1.31.2019_8.4C	P40_2.25.20_8.4D	P24_3.2.20_8.4E	P25_2.26.20_8.4F	P10_3.16.20_8.4G	P18_3.15.20_8.4H	P11_1.27.20_8.1E	P24_1.31.20_8.1F	P25_1.27.20_8.1G	P18_2.21.20_8.1H	Superblock_PCV_C	Superblock_PCV_D	JA_Serum_PCV_C	JA_Serum_PCV_D
PCV_037005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_047788	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_027151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PCV_021989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_047097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_096837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_007226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_063718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_063091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_071522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_020179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_007341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PCV_040926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PCV_038569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_039675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PCV_089224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_046562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_033919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_049947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_025254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCV_091593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
